,iata,name,city,state,country,latitude,longitude
3148,TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.94102779999999
3150,TVC,Cherry Capital,Traverse City,MI,USA,44.74144472,-85.582235
3157,TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA,42.48180389,-114.4877356
3159,TXK,Texarkana Regional-Webb,Texarkana,AR,USA,33.45370806,-93.99101999999999
3162,TYR,Tyler Pounds,Tyler,TX,USA,32.35413889,-95.40238611
3163,TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583
3201,UIN,Quincy Municipal-Baldwin,Quincy,IL,USA,39.94262417,-91.19445611
3236,VEL,Vernal,Vernal,UT,USA,40.44090167,-109.5099203
3246,VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672222
3252,VPS,Eglin Air Force Base,Valparaiso,FL,USA,30.48325,-86.5254
3301,WRG,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242
3311,WYS,Yellowstone,West Yellowstone,MT,USA,44.68839917,-111.1176375
3334,XNA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111
3354,YAK,Yakutat,Yakutat,AK,USA,59.50336056,-139.6602261
3359,YNG,Youngstown-Warren Regional,Youngstown,OH,USA,41.26073556,-80.67909667
3360,YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.60597220000001
