iata,name,city,state,country,latitude,longitude,num_of_connections,CANCELLED,num_of_flights,perc_cancelled
RNO,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,22,122,18112,0.7
ROA,Roanoke Regional/ Woodrum,Roanoke,VA,USA,37.32546833,-79.97542833,5,67,2463,2.7
ROC,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,18,460,14388,3.2
ROW,Roswell Industrial Air Center,Roswell,NM,USA,33.30155556,-104.5305556,2,31,1371,2.3
RST,Rochester International,Rochester,MN,USA,43.90882639,-92.49798722,3,96,3257,2.9
RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,47,428,32351,1.3
SAF,Santa Fe Municipal,Santa Fe,NM,USA,35.61677778,-106.0881389,3,37,1419,2.6
SAN,San Diego International-Lindbergh,San Diego,CA,USA,32.73355611,-117.1896567,65,861,90699,0.9
SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,49,384,39575,1.0
SAV,Savannah International,Savannah,GA,USA,32.12758333,-81.20213889,26,404,15825,2.6
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733,7,98,7084,1.4
SBN,South Bend Regional,South Bend,IN,USA,41.70895361,-86.31847417,13,102,6943,1.5
SBP,San Luis Obispo Co-McChesney,San Luis Obispo,CA,USA,35.23705806,-120.6423931,5,68,4840,1.4
SCC,Deadhorse,Deadhorse,AK,USA,70.19475583,-148.4651608,2,12,935,1.3
SCE,University Park,,,USA,40.851206,-77.84630200000002,2,17,1355,1.3
SCK,Stockton Metro,Stockton,CA,USA,37.89426694,-121.2386203,3,6,747,0.8
SDF,Louisville International-Standiford,Louisville,KY,USA,38.17438889,-85.736,35,468,22904,2.0
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,82,662,140006,0.5
SFB,Orlando Sanford,Orlando,FL,USA,28.77764,-81.23748944,75,42,9581,0.4
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,86,2410,175849,1.4
SGF,Springfield-Branson Regional,Springfield,MO,USA,37.24432611,-93.38685806,13,180,8619,2.1
SGU,St George Muni,St George,UT,USA,37.09058333,-113.5930556,5,2,3247,0.1
SHD,Shenandoah Valley Regional,Staunton/Harrisonburg,VA,USA,38.26384333,-78.89643806,3,17,662,2.6
SHV,Shreveport Regional,Shreveport,LA,USA,32.446627500000005,-93.82559833,7,118,6694,1.8
SIT,Sitka,Sitka,AK,USA,57.04713806,-135.3615983,4,19,1341,1.4
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,43,490,54625,0.9
SJT,San Angelo Regional /Mathis,San Angelo,TX,USA,31.35775,-100.4963056,1,34,1433,2.4
SJU,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,27,212,24544,0.9
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,94,340,113054,0.3
SLN,Salina Municipal,Salina,KS,USA,38.7914825,-97.65060333,2,5,685,0.7
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,36,298,47110,0.6
SMX,Santa Maria Pub/Capt G Allan Hancock,Santa Maria,CA,USA,34.89924833,-120.4575825,1,0,170,0.0
SNA,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.86822250000002,24,277,41639,0.7
SPI,Capital,Springfield,IL,USA,39.84395194,-89.67761861,4,50,1811,2.8
SPN,Tinian International Airport,,,N Mariana Islands,14.996111,145.621384,1,7,257,2.7
SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,USA,33.98879611,-98.49189333,1,39,1058,3.7
SRQ,Sarasota Bradenton International,Sarasota,FL,USA,27.39533333,-82.55411111,15,91,6341,1.4
STC,St Cloud Regional,St Cloud,MN,USA,45.54532417,-94.05833667,2,1,145,0.7
STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972,58,978,66197,1.5
STS,Sonoma Co,Santa Rosa,CA,USA,38.50897694,-122.8128803,4,34,1504,2.3
STT,Cyril E. King,Charlotte Amalie,VI,USA,18.33730556,-64.97336111,12,8,2533,0.3
STX,Henry E. Rohlsen,Christiansted,VI,USA,17.70188889,-64.79855556,4,4,1125,0.4
SUN,Friedman Memorial,Hailey,ID,USA,43.50484139,-114.2965903,5,120,1274,9.4
SUX,Sioux Gateway,Sioux City,IA,USA,42.40260333,-96.38436694,2,39,1189,3.3
SWF,Stewart,Newburgh,NY,USA,41.50409361,-74.10483833,8,41,1791,2.3
SWO,Stillwater Regional,Stillwater,OK,USA,36.16025194,-97.08577028,1,18,797,2.3
SYR,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056,23,437,13818,3.2
TLH,Tallahassee Regional,Tallahassee,FL,USA,30.39652778,-84.35033333,5,142,6122,2.3
TOL,Toledo Express,Toledo,OH,USA,41.58680556,-83.80783333,5,67,2080,3.2
TPA,Tampa International,Tampa,FL,USA,27.97547222,-82.53325,68,813,74526,1.1
TRI,Tri-Cities Regional,Bristol,TN,USA,36.47521417,-82.40742056,5,40,3062,1.3
TTN,Trenton-Mercer County,Trenton,NJ,USA,40.27669111,-74.81346833,19,88,2603,3.4
TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,25,192,16925,1.1
TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278,21,141,18223,0.8
TVC,Cherry Capital,Traverse City,MI,USA,44.74144472,-85.582235,8,94,3925,2.4
TWF,Joslin Field - Magic Valley,Twin Falls,ID,USA,42.48180389,-114.4877356,6,3,1271,0.2
TXK,Texarkana Regional-Webb,Texarkana,AR,USA,33.45370806,-93.99102,1,48,1227,3.9
TYR,Tyler Pounds,Tyler,TX,USA,32.35413889,-95.40238611,1,64,1442,4.4
TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583,23,291,15976,1.8
UIN,Quincy Municipal-Baldwin,Quincy,IL,USA,39.94262417,-91.19445611,2,71,937,7.6
VEL,Vernal,Vernal,UT,USA,40.44090167,-109.5099203,1,4,320,1.2
VLD,Valdosta Regional,Valdosta,GA,USA,30.7825,-83.27672222,1,9,1039,0.9
VPS,Eglin Air Force Base,Valparaiso,FL,USA,30.48325,-86.5254,27,160,7830,2.0
WRG,Wrangell,Wrangell,AK,USA,56.48432583,-132.3698242,2,8,724,1.1
WYS,Yellowstone,West Yellowstone,MT,USA,44.68839917,-111.1176375,1,0,239,0.0
XNA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111,17,248,12571,2.0
YAK,Yakutat,Yakutat,AK,USA,59.50336056,-139.6602261,2,10,722,1.4
YNG,Youngstown-Warren Regional,Youngstown,OH,USA,41.26073556,-80.67909667,2,0,2,0.0
YUM,Yuma MCAS-Yuma International,Yuma,AZ,USA,32.65658333,-114.6059722,1,0,1376,0.0
